Time (s),Distance - X (cm),Distance - Y (cm),Distance - Total (cm)
0.00,0.00,0.00,0.00
0.15,0.00,0.00,0.00
0.32,0.00,0.00,0.00
0.45,0.00,0.00,0.00
0.60,0.00,0.00,0.00
0.75,0.00,0.00,0.00
0.90,0.00,0.00,0.00
1.05,0.00,0.00,0.00
1.20,0.00,0.00,0.00
1.35,0.00,0.00,0.00
1.50,0.00,0.00,0.00
1.65,0.00,0.00,0.00
1.80,0.00,2.00,2.00
1.95,0.00,9.00,9.00
2.10,0.00,17.00,17.00
2.25,0.00,29.00,29.00
2.40,1.00,44.00,44.03
2.55,2.00,61.00,61.06
2.70,2.00,80.00,80.06
2.85,3.00,99.00,99.09
3.00,4.00,120.00,120.11
3.15,5.00,140.00,140.14
3.30,6.00,160.00,160.16
3.45,6.00,179.00,179.16
3.63,7.00,199.00,199.19
3.75,7.00,218.00,218.19
3.90,8.00,238.00,238.21
4.05,8.00,257.00,257.21
4.20,9.00,276.00,276.24
4.35,9.00,296.00,296.24
4.50,10.00,315.00,315.27
4.65,10.00,335.00,335.27
4.80,11.00,355.00,355.29
4.95,11.00,375.00,375.29
5.10,11.00,395.00,395.29
5.25,11.00,415.00,415.29
5.40,12.00,434.00,434.32
5.55,12.00,454.00,454.32
5.70,12.00,474.00,474.32
5.85,12.00,494.00,494.32
6.00,12.00,513.00,513.32
6.15,12.00,533.00,533.32
6.30,12.00,553.00,553.32
6.45,12.00,572.00,572.32
6.60,12.00,592.00,592.32
6.75,12.00,612.00,612.32
6.90,12.00,632.00,632.32
7.06,13.00,651.00,651.34
7.21,13.00,671.00,671.34
7.36,13.00,690.00,690.34
7.51,14.00,710.00,710.37
7.67,14.00,730.00,730.37
7.82,14.00,744.00,744.37
7.97,14.00,756.00,756.37
8.11,14.00,768.00,768.37
8.26,14.00,773.00,773.37
8.41,14.00,778.00,778.37
8.56,15.00,781.00,781.53
8.71,15.00,783.00,783.53
8.86,16.00,784.00,784.94
9.01,16.00,785.00,785.94
9.17,16.00,785.00,785.94
9.33,16.00,785.00,785.94
9.46,17.00,785.00,786.94
9.61,18.00,785.00,787.94
9.76,18.00,786.00,788.94
9.91,18.00,787.00,789.94
10.06,21.00,788.00,793.11
10.21,28.00,790.00,800.39
10.36,38.00,790.00,810.39
10.55,53.00,790.00,825.39
10.66,69.00,790.00,841.39
10.81,85.00,790.00,857.39
10.96,101.00,790.00,873.39
11.11,119.00,790.00,891.39
11.26,137.00,790.00,909.39
11.41,155.00,790.00,927.39
11.56,173.00,790.00,945.39
11.71,190.00,790.00,962.39
11.87,208.00,790.00,980.39
12.01,226.00,790.00,998.39
12.16,243.00,790.00,1015.39
12.31,261.00,790.00,1033.39
12.48,278.00,790.00,1050.39
12.61,296.00,790.00,1068.39
12.76,314.00,790.00,1086.39
12.92,332.00,790.00,1104.39
13.08,350.00,790.00,1122.39
13.21,368.00,790.00,1140.39
13.36,386.00,791.00,1158.41
13.51,402.00,791.00,1174.41
13.66,411.00,791.00,1183.41
13.81,422.00,791.00,1194.41
13.96,430.00,791.00,1202.41
14.11,435.00,792.00,1207.51
14.27,438.00,792.00,1210.51
14.41,440.00,792.00,1212.51
14.56,441.00,793.00,1213.93
14.71,442.00,793.00,1214.93
14.87,442.00,794.00,1215.93
15.03,442.00,794.00,1215.93
15.19,443.00,794.00,1216.93
15.32,443.00,794.00,1216.93
15.47,444.00,794.00,1217.93
15.62,445.00,794.00,1218.93
15.79,446.00,799.00,1224.03
15.93,447.00,804.00,1229.13
16.07,447.00,813.00,1238.13
16.23,447.00,828.00,1253.13
16.38,448.00,846.00,1271.15
16.53,448.00,863.00,1288.15
16.68,448.00,883.00,1308.15
16.83,448.00,903.00,1328.15
16.98,449.00,923.00,1348.18
17.13,449.00,944.00,1369.18
17.28,450.00,965.00,1390.20
17.43,450.00,985.00,1410.20
17.60,450.00,1005.00,1430.20
17.73,450.00,1025.00,1450.20
17.88,451.00,1045.00,1470.23
18.03,451.00,1065.00,1490.23
18.18,451.00,1085.00,1510.23
18.33,451.00,1106.00,1531.23
18.48,452.00,1126.00,1551.25
18.63,452.00,1146.00,1571.25
18.78,452.00,1166.00,1591.25
18.93,452.00,1186.00,1611.25
19.08,453.00,1206.00,1631.28
19.27,453.00,1227.00,1652.28
19.38,453.00,1247.00,1672.28
19.53,454.00,1266.00,1691.30
19.68,454.00,1287.00,1712.30
19.83,455.00,1307.00,1732.33
19.98,456.00,1327.00,1752.35
20.13,457.00,1347.00,1772.38
20.28,458.00,1367.00,1792.40
20.43,459.00,1387.00,1812.43
20.58,460.00,1407.00,1832.45
20.73,461.00,1427.00,1852.48
20.88,461.00,1447.00,1872.48
21.03,462.00,1468.00,1893.50
21.18,462.00,1488.00,1913.50
21.33,462.00,1508.00,1933.50
21.48,462.00,1528.00,1953.50
21.63,462.00,1541.00,1966.50
21.78,462.00,1553.00,1978.50
21.93,462.00,1564.00,1989.50
22.08,463.00,1570.00,1995.59
22.23,463.00,1574.00,1999.59
22.38,464.00,1577.00,2002.75
22.53,465.00,1579.00,2004.98
22.68,466.00,1580.00,2006.40
22.83,466.00,1581.00,2007.40
22.98,467.00,1581.00,2008.40
23.13,467.00,1582.00,2009.40
23.28,468.00,1582.00,2010.40
23.43,468.00,1582.00,2010.40
23.63,469.00,1583.00,2011.81
23.73,470.00,1583.00,2012.81
23.88,477.00,1584.00,2019.88
24.04,483.00,1584.00,2025.88
24.18,494.00,1584.00,2036.88
24.33,508.00,1584.00,2050.88
24.49,524.00,1584.00,2066.88
24.64,540.00,1584.00,2082.88
24.79,558.00,1584.00,2100.88
24.95,576.00,1584.00,2118.88
25.10,595.00,1584.00,2137.88
25.28,613.00,1585.00,2155.91
25.39,630.00,1585.00,2172.91
25.54,648.00,1585.00,2190.91
25.69,665.00,1585.00,2207.91
25.84,683.00,1585.00,2225.91
25.99,701.00,1585.00,2243.91
26.14,719.00,1585.00,2261.91
26.30,737.00,1585.00,2279.91
26.45,755.00,1585.00,2297.91
26.59,772.00,1585.00,2314.91
26.75,791.00,1585.00,2333.91
26.89,808.00,1585.00,2350.91
27.05,826.00,1585.00,2368.91
27.19,844.00,1586.00,2386.94
27.34,859.00,1586.00,2401.94
27.49,867.00,1587.00,2410.00
27.64,880.00,1588.00,2423.04
27.81,886.00,1588.00,2429.04
27.94,891.00,1588.00,2434.04
28.09,893.00,1589.00,2436.28
28.25,895.00,1589.00,2438.28
28.39,895.00,1589.00,2438.28
28.54,895.00,1590.00,2439.28
28.70,895.00,1590.00,2439.28
28.84,895.00,1591.00,2440.28
29.00,896.00,1591.00,2441.28
29.14,896.00,1592.00,2442.28
29.37,896.00,1592.00,2442.28
29.45,897.00,1592.00,2443.28
29.59,897.00,1593.00,2444.28
29.76,898.00,1593.00,2445.28
29.89,898.00,1593.00,2445.28
30.05,898.00,1594.00,2446.28
30.20,898.00,1594.00,2446.28
30.36,898.00,1595.00,2447.28
30.50,898.00,1595.00,2447.28
30.64,898.00,1596.00,2448.28
30.79,898.00,1596.00,2448.28
30.95,898.00,1596.00,2448.28
31.09,898.00,1596.00,2448.28
31.25,898.00,1597.00,2449.28
31.39,898.00,1597.00,2449.28
31.54,898.00,1598.00,2450.28
31.69,898.00,1598.00,2450.28
31.84,898.00,1598.00,2450.28
32.00,898.00,1599.00,2451.28
32.15,898.00,1599.00,2451.28
32.31,898.00,1599.00,2451.28
32.45,898.00,1600.00,2452.28
32.62,898.00,1600.00,2452.28
32.75,898.00,1600.00,2452.28
32.90,898.00,1601.00,2453.28
33.06,898.00,1601.00,2453.28
33.21,898.00,1602.00,2454.28
33.36,898.00,1602.00,2454.28
33.51,898.00,1602.00,2454.28
33.73,898.00,1602.00,2454.28
33.81,898.00,1602.00,2454.28
33.96,898.00,1602.00,2454.28
34.11,898.00,1603.00,2455.28
34.26,898.00,1603.00,2455.28
34.41,898.00,1603.00,2455.28
34.56,898.00,1603.00,2455.28
34.71,898.00,1603.00,2455.28
34.88,898.00,1603.00,2455.28
35.01,898.00,1604.00,2456.28
35.16,898.00,1604.00,2456.28
35.31,898.00,1604.00,2456.28
35.46,898.00,1604.00,2456.28
35.61,898.00,1604.00,2456.28
35.76,898.00,1604.00,2456.28
35.91,898.00,1604.00,2456.28
36.06,898.00,1605.00,2457.28
36.21,898.00,1606.00,2458.28
36.36,898.00,1606.00,2458.28
36.51,898.00,1606.00,2458.28
36.66,898.00,1606.00,2458.28
36.81,898.00,1607.00,2459.28
36.96,898.00,1607.00,2459.28
37.11,898.00,1608.00,2460.28
37.26,898.00,1608.00,2460.28
37.41,898.00,1609.00,2461.28
37.56,898.00,1609.00,2461.28
37.71,898.00,1610.00,2462.28
37.86,898.00,1610.00,2462.28
38.01,898.00,1610.00,2462.28
38.16,898.00,1611.00,2463.28
38.31,898.00,1611.00,2463.28
38.46,898.00,1612.00,2464.28
38.62,898.00,1612.00,2464.28
38.76,898.00,1612.00,2464.28
