Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
0.00,0.1,0.0,0.0
0.15,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.45,0.1,0.0,0.0
0.60,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.90,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.20,-0.1,0.0,0.0
1.35,0.0,0.0,0.0
1.50,0.1,0.0,0.0
1.65,-0.2,0.2,0.0
1.80,-380.7,-7.7,-20.9
1.95,-27.4,-3.1,3.8
2.10,37.3,6.4,24.1
2.25,22.6,5.7,9.1
2.40,257.1,1.2,-6.3
2.55,180.0,13.3,7.6
2.70,248.4,20.1,8.2
2.85,62.0,1.0,-11.5
3.00,-23.2,-1.4,-1.7
3.15,-33.4,17.8,6.2
3.30,-128.5,-20.2,-18.8
3.45,74.8,13.7,-12.0
3.63,-79.8,-1.0,1.4
3.75,81.4,19.1,32.5
3.90,-88.8,-39.9,-27.7
4.05,3.7,26.0,8.5
4.20,-14.4,-13.5,14.7
4.35,-28.5,-1.5,-27.3
4.50,130.4,48.5,13.6
4.65,29.8,-37.9,-25.0
4.80,-5.4,8.6,19.6
4.95,-58.8,-34.0,1.0
5.10,11.5,-4.1,-5.8
5.25,57.0,-16.2,-8.9
5.40,50.7,-2.3,36.2
5.55,-64.8,2.7,2.6
5.70,112.7,-10.8,-18.8
5.85,-120.4,1.3,9.7
6.00,44.9,11.4,-10.2
6.15,28.2,1.2,-8.8
6.30,-76.4,7.9,4.8
6.45,-65.0,7.3,-10.3
6.60,152.8,-2.9,1.2
6.75,-4.3,1.5,14.7
6.90,-76.7,-3.2,0.0
7.06,-7.3,1.4,-8.0
7.21,76.8,10.4,2.4
7.36,-34.5,6.7,9.3
7.51,-78.5,-12.8,-12.4
7.67,31.9,-7.4,-10.4
7.82,399.6,17.9,25.3
7.97,-39.8,4.4,-37.9
8.11,-155.2,-31.5,-12.4
8.26,78.5,-2.2,-7.3
8.41,-29.0,23.8,-6.7
8.56,-100.9,3.5,4.0
8.71,-40.0,-13.7,-6.6
8.86,-49.0,-25.7,-4.3
