Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,0.00,-2.00,0.00
0.15,0.00,-2.00,0.00
0.32,0.00,-2.00,0.00
0.45,0.00,-2.00,0.00
0.60,0.00,-2.00,0.00
0.75,0.00,-2.00,0.00
0.90,0.00,-2.00,0.00
1.05,0.00,-2.00,0.00
1.20,0.00,-2.00,0.00
1.35,0.00,-2.00,0.00
1.50,0.00,-2.00,0.00
1.65,0.00,-2.00,0.00
1.80,20.00,-2.00,1.00
1.95,47.00,-1.00,1.00
2.10,48.00,0.00,0.00
2.25,42.00,-2.00,1.00
2.40,40.00,-2.00,1.00
2.55,31.00,-2.00,1.00
2.70,12.00,-4.00,2.00
2.85,-6.00,-5.00,3.00
3.00,-9.00,-6.00,3.00
3.15,-8.00,-8.00,3.00
3.30,1.00,-3.00,1.00
3.45,3.00,-2.00,1.00
3.63,5.00,-5.00,2.00
3.75,4.00,-6.00,2.00
3.90,1.00,-2.00,1.00
4.05,2.00,-3.00,1.00
4.20,0.00,-7.00,2.00
4.35,3.00,-2.00,1.00
4.50,0.00,-7.00,2.00
4.65,-1.00,-3.00,1.00
4.80,-1.00,-3.00,1.00
4.95,0.00,-2.00,0.00
5.10,0.00,-1.00,0.00
5.25,2.00,0.00,0.00
5.40,0.00,0.00,0.00
5.55,-1.00,2.00,0.00
5.70,0.00,0.00,0.00
5.85,0.00,0.00,0.00
6.00,0.00,0.00,0.00
6.15,0.00,0.00,0.00
6.30,-1.00,0.00,0.00
6.45,-1.00,-1.00,0.00
6.60,0.00,-2.00,0.00
6.75,0.00,-1.00,0.00
6.90,-1.00,-1.00,1.00
7.06,0.00,-2.00,1.00
7.21,1.00,-2.00,1.00
7.36,0.00,-2.00,1.00
7.51,0.00,-2.00,1.00
7.67,0.00,-3.00,1.00
7.82,-29.00,-3.00,1.00
7.97,-64.00,-3.00,2.00
8.11,-37.00,0.00,1.00
8.26,-28.00,0.00,0.00
8.41,-31.00,-1.00,0.00
8.56,-24.00,-4.00,0.00
8.71,-14.00,-3.00,0.00
8.86,-7.00,-1.00,-2.00
9.01,0.00,1.00,-2.00
9.17,2.00,0.00,-2.00
9.33,-3.00,-2.00,-2.00
9.46,-9.00,-3.00,-2.00
9.61,-7.00,-2.00,-2.00
9.76,4.00,0.00,-15.00
9.91,7.00,11.00,-78.00
10.06,33.00,5.00,-87.00
10.21,46.00,-4.00,-88.00
10.36,27.00,-3.00,-88.00
10.55,27.00,-1.00,-89.00
10.66,27.00,0.00,-89.00
10.81,21.00,0.00,-89.00
10.96,11.00,0.00,-89.00
11.11,8.00,1.00,-89.00
11.26,2.00,1.00,-89.00
11.41,-2.00,1.00,-89.00
11.56,-1.00,3.00,-90.00
11.71,1.00,4.00,-89.00
11.87,2.00,3.00,-90.00
12.01,3.00,2.00,-89.00
12.16,2.00,3.00,-89.00
12.31,5.00,4.00,-90.00
12.48,4.00,3.00,-89.00
12.61,5.00,2.00,-89.00
12.76,1.00,0.00,-88.00
12.92,0.00,1.00,-89.00
13.08,-2.00,1.00,-88.00
13.21,0.00,2.00,-89.00
13.36,1.00,0.00,-89.00
13.51,-2.00,-2.00,-87.00
13.66,-54.00,-1.00,-87.00
13.81,-56.00,-3.00,-87.00
13.96,-49.00,-2.00,-87.00
14.11,-36.00,3.00,-88.00
14.27,-14.00,9.00,-89.00
14.41,5.00,3.00,-89.00
14.56,12.00,-6.00,-88.00
14.71,2.00,-7.00,-88.00
14.87,-4.00,1.00,-87.00
15.03,-1.00,5.00,-86.00
15.19,6.00,0.00,-86.00
15.32,4.00,-4.00,-86.00
15.47,-1.00,-3.00,-86.00
15.62,2.00,5.00,-165.00
